Tool,Score,Description,URL,bio.tools URL
feelnc,0.167,A tool to annotate long non-coding RNAs from RNA-seq assembled transcripts.,,https://bio.tools/feelnc
ratt,0.167,"Transfer annotation from a reference (annotated) genome to an unannotated query genome. It is able to transfer any entry present on a reference sequence, such as the systematic id or an annotator’s notes.",http://www.mybiosoftware.com/ratt-r18-rapid-annotation-transfer-tool.html,https://bio.tools/ratt
citexplore literature database,0.167,Combine literature search with text mining tools for biology.,,https://bio.tools/citexplore literature database
amtdb,0.167,"This is the place where you can find an updated list of the published mitochondrial sequences coming from the ancient DNA samples (aDNA). The main interest of our database lies in the anatomically modern Homo sapiens samples, ranging from the late Paleolithic to roughly Iron Age times, focusing on an Euroasian geographical area. We provide both the mtDNA sequences (in FASTA format), and the metadata for the samples (IDs, dates, geolocation, site, culture, mtDNA haplogroup etc., available to download in a tab-delimited text file).",,https://bio.tools/amtdb
microtss,0.167,"microTSS is a machine-learning algorithm that provides highly accurate, single-nucleotide resolution predictions for intergenic miRNA transcription start sites (TSSs). MicroTSS integrates high-resolution RNA-sequencing data with active transcription marks derived from chromatin immunoprecipitation and DNase-sequencing to enable the characterization of tissue-specific promoters",,https://bio.tools/microtss
typeinfo,0.167,A prototype for a mechanism for specifying the types of parameters and the return value for an R function.,,https://bio.tools/typeinfo
quin,0.167,"Tool for visualizing, annotating, and querying chromatin interactions derived from technologies such as ChIA-PET or HiC.",,https://bio.tools/quin
cpgavas,0.167,"CPGAVAS (Chloroplast Genome Annotation, Visualization, Analysis, and GenBank Submission) is a web server which allows accurate genome annotation, the generation of circular chloroplast genome maps, the provision of useful analysis results of the annotated genome, the creation of files that can be submitted to GenBank directly.",http://www.mybiosoftware.com/cpgavas-20130506-chloroplast-genome-annotation-visualization-analysis-genbank-submission-tool.html,https://bio.tools/cpgavas
candida genome database cgd,0.167,"Provides online access to genomic sequence data and manually curated functional information about genes and proteins of the human pathogen Candida albicans. Two tools have been added to the DB. The Biochemical Pathways tool provides visualization of metabolic pathways and analysis tools that facilitate interpretation of experimental data, including results of large-scale experiments, in the context of Candida metabolism.",,https://bio.tools/candida genome database cgd
histone coder,0.167,"Count the number of MS/MS ions in a given spectrum to determine the unambiguous localization of a post-translational modification (PTM). The software lists number and type of site determining ions found between the assigned PTM localization by Mascot (Matrix Science) and the closest other amino acids which can host the modification. The PTMs included in the script are phosphorylation (S,T,Y), acetylation (K), mono- and dimethylation (K,R) and trimethylation (K).",,https://bio.tools/histone coder
estscan,0.167,"ESTScan can detect coding regions (CDS) in DNA sequences, even if they are of low quality.  It  also detects/corrects sequencing errors that lead to frameshifts.  ESTScan is not a gene prediction program , nor is it an open reading frame detector.  In fact, its strength lies in the fact that it does not require an open reading frame to detect a coding region.  The program may miss a few translated amino acids at termini, but detects coding regions with high selectivity and sensitivity.",,https://bio.tools/estscan
python video annotator,0.167,"PythonVideoAnnotator is a graphical application written in Python, to analyze and create notes for events in videos. It was developed with the aim of helping neuroscience and ethology researchers to identify animals’ behaviors based on the information extracted from the video.",https://github.com/video-annotator/pythonvideoannotator,https://bio.tools/python video annotator
bioexcel genome sequence quality control workflow,0.167,Workflow to perform high throughput Next Generation Sequencing (NGS) sequencing quality control stages,https://bioexcel.eu/research/projects/use-case-rapid-turnaround-cancer-analysis-pipeline-for-high-throughput-sequencing-data/,https://bio.tools/bioexcel genome sequence quality control workflow
faf-drugs,0.167,"Process compound collections via simple absorption, distribution, metabolism, excretion and toxicity (ADME/tox) filtering rules to aid in the drug discovery process.",,https://bio.tools/faf-drugs
geniatagger,0.167,"Analyze English sentences and output the base forms, part-of-speech tags, chunk tags, and named entity tags. The tagger is specifically tuned for biomedical text such as MEDLINE abstracts.",https://www.biocatalogue.org/services/3754,https://bio.tools/geniatagger
caw,0.167,Project has changed name: sarek,https://github.com/nf-core/sarek,https://bio.tools/caw
rdavidwebservice,0.167,"Tool for retrieving data from DAVID database that offers the main functionalities of the website, including a connectivity to upload gene background lists, or the reports of the submitted information.",http://www.bdmg.com.ar,https://bio.tools/rdavidwebservice
geseq,0.167,"Rapid and accurate annotation of organellar genome sequences, in particular chloroplast genomes.",,https://bio.tools/geseq
genomicscores,0.167,Provide infrastructure to store and access genomewide position-specific scores within R and Bioconductor.,https://github.com/rcastelo/GenomicScores,https://bio.tools/genomicscores
peakanalyzer,0.167,A set of utilities for the automated processing and annotation of genome-wide signal enrichment peaks derived through functional genomics techniques,,https://bio.tools/peakanalyzer
pcpheno,0.167,"Tools to integrate, annotate, and link phenotypes to cellular organizational units such as protein complexes and pathways.",,https://bio.tools/pcpheno
chat,0.167,Text mining approach to organize and evaluate scientific literature on cancer.,,https://bio.tools/chat
koffi,0.167,"new binding kinetics database and its integration in an open-source binding analysis software.

Kinetics OF Featured Interactions.

KOFFI-DB (???) is an article based database for kinetic constants of biomolecular interactions. We focused on interactions between DNA, RNA, proteins and chemical compounds. All datapoints were manually annotated and reviewed based on open source articles available on Europe PMC",,https://bio.tools/koffi
